,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-3.942053142372874e-08,1.3803879207893855e-05,-1.203570097736622,11.459871893325111,2435,1.8568844831614086e-11,1.3144143092285833e-11,2.2460096009264934e-12,2.103206796465436e-11,1.0204603621883447e-10
ch1,5.788627320729787e-07,1.9094169615486275e-05,-0.5284560757487022,6.333224643411048,2198,5.307629007216999e-11,5.4036659084391466e-11,2.3440652435299308e-12,2.3312965316839766e-11,1.902817067581125e-10
ch2,-8.26438937825829e-09,9.330452127381567e-06,-0.12158840696128496,1.5401771290475486,3592,6.7315995074305e-12,1.4853789715911394e-11,4.040184726626737e-12,1.666099924916819e-11,3.955647720445478e-11
ch3,-1.267691148822632e-07,1.476975864695163e-05,-1.5914558053055268,30.754641501783432,2726,1.8258489978964058e-11,1.1475967155295932e-11,1.9746867680043883e-12,1.5772231843135068e-11,1.459084252842925e-10
ch4,-7.788537640107626e-07,2.0037880701562034e-05,-0.24502827964424023,18.778907335934232,2103,2.9652300661300655e-11,3.12825209122077e-11,2.2007767087551017e-12,2.9895864771238683e-11,2.458668525642958e-10
ch5,4.036155764670448e-09,1.061007846070149e-05,-0.283982552313305,3.4758080598869556,3162,7.880541711415626e-12,2.247652887192307e-11,3.2515196370509238e-12,1.6794748081556582e-11,5.178851099950161e-11
ch6,5.8332862899687704e-08,1.2741396378158885e-05,-0.6244974531962079,8.349787554146126,3631,9.929822120530743e-12,2.3084738470276555e-11,4.960025365638646e-12,1.804800493029487e-11,8.921714287553684e-11
ch7,2.121824713611653e-07,1.886160961575051e-05,-0.2798787774303217,5.834734936418647,2091,3.995049768103316e-11,5.2658015369222464e-11,2.005009164413247e-12,2.8361700503974902e-11,1.963188020778911e-10
ch8,-2.4484081820205745e-07,1.713777046201167e-05,-1.0512154200548662,20.786256496316224,2333,2.5540034904622525e-11,2.5833661008577517e-11,1.9341463970310195e-12,2.3485784266940787e-11,1.8026699993387447e-10
ch9,2.650307788654974e-09,9.819820016225482e-06,-0.17223999532351614,4.442973266365009,2565,8.05367648337291e-12,1.339562382630425e-11,2.0847116391414107e-12,1.0890514804198401e-11,5.4917465882534873e-11
ch10,9.412121846429268e-08,1.932055485745354e-05,-0.7532394004591191,13.411231283416399,2107,3.045043945458472e-11,3.852293955833396e-11,1.5742478256380826e-12,3.923442056657625e-11,2.1955391208736942e-10
ch11,4.8568236278228364e-08,1.551521132560079e-05,-1.3254138724931002,33.73790661137816,2620,2.0207164501201537e-11,1.4174908313677292e-11,1.7836118846155475e-12,1.3448349065749016e-11,1.6188357318735354e-10
ch12,-1.2000406922753037e-07,1.3617878238968002e-05,-1.006226614593573,18.708571853858132,2370,1.639845319802406e-11,1.7699277135317188e-11,1.5458177908322806e-12,1.2037524834580485e-11,1.1392990880585329e-10
ch13,-9.213366628531113e-08,1.2947351240608286e-05,-0.8763289003370575,17.78636089673202,2749,1.3013442572442732e-11,2.356301322575308e-11,2.266500869491153e-12,1.5933035496734e-11,9.57427501225878e-11
ch14,-7.3242862655905e-08,1.0349725034822773e-05,0.07945851676979937,2.8313623416683846,2891,7.57749894082946e-12,1.371596838481135e-11,2.965097471834686e-12,1.410174709524209e-11,5.6373915687443835e-11
ch15,-1.737713453805751e-08,1.01931844446064e-05,-0.6927967576483675,17.150945980311054,2863,1.0614946154637911e-11,1.531962597809692e-11,1.645074470207822e-12,1.0820537738906097e-11,5.687355924697458e-11
ch16,-1.4519753193153417e-08,1.0117593321512431e-05,-1.6026645097151515,33.438807514218006,4058,6.538376905022834e-12,1.3593953284515535e-11,2.9970090507620646e-12,1.036756822528746e-11,5.8062195874509914e-11
ch17,-2.1271897913404073e-07,1.535780925308384e-05,-0.7057329273519456,18.88049850342239,2251,1.7561394291894078e-11,2.83401214052799e-11,1.8340235905033805e-12,2.636230506612297e-11,1.4263251089403683e-10
