,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,3.6892480088232813e-09,2.9643295293158158e-05,0.0528111253127847,0.2705591091829791,3557,5.036197034709452e-11,2.0920480271177902e-10,4.582167515823327e-11,1.7069784965482312e-10,3.5387878724754954e-10
ch1,-8.847171663034786e-07,2.6131137551988386e-05,0.33208918394183484,1.637743285580151,3346,4.0179919181411095e-11,9.279583365252795e-11,3.650681277217092e-11,1.6151296744636233e-10,2.8768784699656686e-10
ch2,-2.5536849595376866e-07,3.259573300442869e-05,0.08808262689883908,0.563684111535478,2336,9.33930627006517e-11,1.2035596490984202e-10,9.389530349261116e-12,2.0781838129808278e-10,4.711949580165235e-10
ch3,-3.155316947554555e-07,2.065881598243477e-05,0.20499716016784394,1.6649970275038681,3564,2.0176667927463295e-11,6.600378244779304e-11,2.861747425904198e-11,7.837825291984311e-11,1.8502244867808145e-10
ch4,-8.957625460337394e-08,3.290524253258178e-05,0.03119017763559941,0.281190186870206,2369,1.0963759466901395e-10,1.0011634239562615e-10,2.0054104067468578e-11,3.3150461043022574e-10,4.5431075924993674e-10
ch5,1.8533098843773224e-07,2.5241945154881234e-05,0.0680283053439116,0.3613543984105485,2570,5.1976960724503886e-11,8.850392009913067e-11,9.145594373642019e-12,1.313649560325878e-10,2.7521317123162083e-10
ch6,4.72643010610644e-08,3.428212345026935e-05,0.08230677271786714,0.6050062801413403,1964,1.174782295371017e-10,7.665178132788581e-11,8.9778707513502e-12,2.920659797192496e-10,5.111247266320642e-10
ch7,-7.643750741633596e-07,2.1419395939053444e-05,0.43676535240307296,3.0706551368585737,2634,2.8261125725048355e-11,4.020558838105049e-11,1.0567180718099212e-11,9.980492376979608e-11,2.2868710732030556e-10
ch8,-1.124773357205562e-07,2.9041434280679552e-05,0.01896339071816644,0.7146902549871719,2074,4.3267638928064565e-11,7.111361512660542e-11,1.0112659565258805e-11,2.4920857194832793e-10,4.1200145557249345e-10
ch9,4.5027500547611443e-07,3.0909370383381204e-05,0.004899734505541562,0.3153639011459779,3180,5.6272057554775543e-11,2.284908276591743e-10,1.2386554812515721e-11,1.9534909613298937e-10,3.712708679992977e-10
ch10,-4.595042442404504e-08,3.0193771355160694e-05,-0.01882402090657385,0.4512975893828375,1803,5.589803648244657e-11,5.2500753501623844e-11,8.026401977714592e-12,3.949230922791948e-10,3.38553697803399e-10
ch11,-4.104012746160216e-07,1.9439464481219825e-05,0.2985075229684442,2.3644043941545707,2802,1.9317005377452014e-11,4.1757442753545424e-11,1.1632970290655407e-11,5.5844926448759756e-11,2.010429273939794e-10
ch12,9.524665223932785e-09,2.563075691064332e-05,0.07100796260156499,0.2917310847324286,3032,3.1756410922634985e-11,1.2582704433084432e-10,1.462881807237773e-11,1.376520964390415e-10,2.875570496063743e-10
ch13,6.079878977274444e-07,2.4416595059344764e-05,0.06735983991746343,0.7750229542537661,2313,4.3058792836129445e-11,6.247842333351903e-11,6.431336425688793e-12,1.5745404001009537e-10,2.7052565041026515e-10
ch14,-9.943362244197469e-08,3.462888042050612e-05,-0.05721216913701602,0.5154148412522925,3815,8.695945737362698e-11,3.462883610716562e-10,4.2663673386575006e-11,3.1211119669122657e-10,3.4612098438457626e-10
ch15,4.578715964839097e-07,3.199419311422949e-05,0.09258574619370377,0.8654714975756934,2383,9.041665155617556e-11,1.0064462474206928e-10,9.735506830899242e-12,3.3287740236397765e-10,4.0044382356407835e-10
ch16,2.873248084448942e-07,2.4891496270280102e-05,-0.038479098375734606,0.32055901525856356,2252,7.738748211847513e-11,5.848308321269992e-11,6.12500521647666e-12,1.4627836904921427e-10,2.454894542575062e-10
ch17,5.039235385179745e-07,2.9701066616575502e-05,0.0858342236063474,0.9363553123680144,2021,7.808747259296256e-11,7.260985556828366e-11,7.177183639343533e-12,3.22865875602648e-10,3.481992055321189e-10
