,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-3.8215944875679576e-07,6.112495530157745e-05,0.5638292777763627,2.657860875066093,9137,5.991378424814691e-11,3.603254254673373e-10,1.3246030774638244e-09,1.9864183746837693e-10,1.1664834509831879e-09
ch1,5.845221718299139e-09,6.739205468415818e-05,2.15901218685324,17.109951950777287,3937,9.869077970467523e-11,2.3654961865143616e-10,2.2403283379124006e-10,6.695947355526949e-10,2.7909164462461334e-09
ch2,4.681920214124032e-07,3.2694657588736714e-05,-2.0780979693244332,44.59535926818354,6868,6.942131354139486e-11,1.4998770617556944e-10,2.0278636323640748e-10,1.6587089118625413e-10,4.160593561548571e-10
ch3,6.138963197016417e-07,7.977055265044355e-05,1.248747968055699,14.29449852766971,4371,8.898066578070931e-11,1.1124852206738345e-10,1.5384277675964481e-10,7.040793477995125e-10,4.2022427568714255e-09
ch4,-5.149571742695974e-08,2.6383541180888932e-05,1.1813210223896418,9.141312697541427,4955,1.98415396607379e-11,5.459567447825032e-11,6.648706808658568e-11,8.378646203213815e-11,3.8361227001724647e-10
ch5,5.587836457179917e-09,2.344053245390765e-05,0.3408845272172074,6.316314896631674,6007,3.619969723955235e-11,9.658791793568249e-11,1.4250958264081577e-10,4.763105591297106e-11,1.687736296171075e-10
ch6,3.008058689754794e-07,2.8712149751532774e-05,-2.823445873771361,56.26836806435755,4732,5.973667011436886e-11,7.112087550825555e-11,6.14747194025252e-11,1.783015264736319e-10,4.0918312405936086e-10
ch7,2.8561513145667327e-07,7.398486205257365e-05,1.1972202219528914,16.19369195601524,3816,1.8158721427059753e-10,4.384041840678893e-10,3.061233288432792e-10,7.646822926237008e-10,3.3720672130593776e-09
ch8,-2.0485359508054127e-07,3.78947506034907e-05,-2.1522920675347588,57.99096855956674,4286,1.2684393941291326e-10,2.450645603288482e-10,1.2113574806892804e-10,3.407616536091231e-10,6.035445387273688e-10
ch9,3.367030841817309e-07,5.991632949445125e-05,-0.4945818724400991,5.204048410679814,10960,6.748578459226676e-11,8.834603141535062e-10,1.9779703279877537e-09,9.244300740810341e-11,2.4306671084903586e-10
ch10,6.9662242290632485e-09,1.71446740369561e-05,1.0990361454803208,7.548733442809715,2101,1.0160527538697512e-11,6.562459779509237e-12,3.0807641928684764e-12,4.417942464828746e-11,1.899751921939723e-10
ch11,-9.36175918998603e-07,7.120990335795153e-05,1.504648845458853,12.160686606934986,5077,7.639416536166402e-11,1.318864314767333e-10,2.0219445769046806e-10,5.54978513201354e-10,3.076904934114115e-09
ch12,6.95582987240968e-07,6.682363218062813e-05,0.4067047147157413,2.907202602549291,9739,7.380753072979e-11,7.200545846913503e-10,1.7261904490088494e-09,2.1986036482621336e-10,1.116752467446969e-09
ch13,1.6127004003804655e-07,1.8847801497407544e-05,0.26341188874503413,2.147266408324912,4744,1.3793907281595647e-11,3.148226167140841e-11,3.879377533188428e-11,7.070882906867382e-11,1.5560008883900863e-10
ch14,-1.140419711572754e-07,4.991694413709507e-05,-0.19636558911433055,1.8204125346315987,10037,4.020811990043358e-11,3.6621425630874226e-10,1.3326060814012433e-09,8.165566253465363e-11,3.2722552746571744e-10
ch15,9.17678856197892e-08,1.7414970254794595e-05,0.37362995999727416,5.463185735816957,4841,1.0112848075445138e-11,2.1719685827864484e-11,2.930882565691448e-11,4.074049382949115e-11,1.4181590394306125e-10
ch16,6.573203227264965e-08,1.4551624545145977e-05,-0.057016738461211774,3.7064149139621447,5503,1.71511275823517e-11,2.4230129929722426e-11,3.1107155106926325e-11,3.07070457864971e-11,8.56046649718507e-11
ch17,1.5859808172773358e-07,1.4304936657551874e-05,0.4540006352179365,6.562547356148919,2459,5.196003758174165e-12,5.796050122575038e-12,2.855477675633425e-12,2.7513633401427043e-11,1.1748305983466244e-10
