,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-5.720669137917546e-08,2.1988370514321457e-05,0.8015022058795435,9.243769482920564,1770,1.8131146004939317e-11,9.950900218327642e-12,1.3982242602170707e-12,7.199413711317028e-11,3.2724494903457556e-10
ch1,2.005543188821991e-07,2.1455749541774683e-05,1.3947281309014845,9.316749348946999,1525,8.915676389680988e-12,6.434742701009595e-12,1.8863455025125924e-12,5.434050979839256e-11,2.944157794604026e-10
ch2,3.9667894977012874e-08,1.4886568074012761e-05,-0.5312509753993394,10.112526840611798,2756,1.52023341529217e-11,4.381434512328309e-12,2.3309087826634813e-12,6.788868441660632e-11,1.1468023679291912e-10
ch3,1.3407219479353448e-07,2.1603054773605166e-05,1.338275514376095,10.759998409250661,1523,8.721979705128419e-12,6.638304590084464e-12,1.067722794580167e-12,3.933969801989048e-11,2.9011013937249225e-10
ch4,-2.739771898463635e-07,1.6967239430379025e-05,-0.15643571151798438,10.082389145348722,1755,6.085707109571026e-12,7.120431340436906e-12,1.3751929003517224e-12,4.877864240319019e-11,1.6858603289430975e-10
ch5,1.825516664748939e-07,1.814063492788855e-05,-0.11029087346461386,9.103279161004146,2851,2.4196518795554358e-11,7.919182866686093e-12,3.1684666984923404e-12,7.738004664051355e-11,2.0100441569513433e-10
ch6,1.411343525057251e-07,1.4690223358550388e-05,-0.3721365529295401,6.455574319554003,2342,1.1763359611953305e-11,4.913394415013475e-12,2.475152043944011e-12,7.494558059505064e-11,1.0819440610831186e-10
ch7,1.774300245343295e-07,2.1422158511506285e-05,1.2014286232082945,8.147054897276611,1413,9.715546072728929e-12,5.972138928064197e-12,1.739810464590341e-12,5.991427154726651e-11,2.880200832831536e-10
ch8,2.7085637046461754e-08,1.3439416677376274e-05,0.06323179012768783,1.8641085095646552,1782,7.98826841459314e-12,5.589461309849941e-12,1.3280745597371572e-12,6.098482286982083e-11,8.647891957903581e-11
ch9,4.9820400102605224e-08,1.702124888504523e-05,-0.05733504289075539,7.066913049724665,1707,2.255012127200847e-11,8.704434497209261e-12,1.2252073906872956e-12,1.0423285368678027e-10,1.3611538752480313e-10
ch10,8.172031679112127e-08,1.0257726086446927e-05,0.2629132293705694,1.6605454751775888,2241,3.79529140416086e-12,3.0712723269137985e-12,1.4916194421586127e-12,2.7982543607304113e-11,6.014791533677106e-11
ch11,2.0602611689810056e-07,2.329317529228192e-05,1.9268432808235458,12.642688142591393,1308,1.001418352026503e-11,5.30087563708453e-12,9.148459140498676e-13,5.617315975654882e-11,3.3343831078759677e-10
ch12,1.8274290548525145e-07,1.8146246934588366e-05,0.2765305387258188,4.053228666643738,1707,1.5640055721819248e-11,9.600140515014968e-12,1.7123390319818775e-12,8.037709039329765e-11,1.7402213984180425e-10
ch13,1.1900647401561076e-07,1.4249794607384996e-05,0.014245726812468634,3.3628468227781125,1868,1.467523568306703e-11,7.678493413911649e-12,1.3362771499418221e-12,8.312896458517305e-11,8.868825385343424e-11
ch14,3.689004541943589e-08,1.647838669431019e-05,0.30660151791235907,11.823486995699993,2070,1.4566759378624824e-11,9.950641678251965e-12,1.6056563374380977e-12,6.024580521591601e-11,1.6905813033602196e-10
ch15,2.7069746963399944e-07,1.8662840127485817e-05,0.577627813011601,10.965431258451218,1812,1.2932353076986135e-11,8.9096817251939e-12,1.7094610976760303e-12,7.15411524047166e-11,1.75350516757428e-10
ch16,1.0776595336942e-07,1.3569351603401747e-05,0.0171822625980347,6.918660193024376,2943,1.2683783552353894e-11,5.808439326207379e-12,2.3554593025042737e-12,4.472177579250298e-11,1.1408290218644593e-10
ch17,1.0261524328561362e-07,1.1748989494412476e-05,0.181334194692747,1.4444549625524328,1748,7.538679743799615e-12,4.815245923683257e-12,9.24641022797037e-13,4.647444805984342e-11,7.135817279291365e-11
