,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-6.696997231558468e-08,5.089203659594296e-05,0.4303697732233456,9.382951986991431,1419,1.3272756001843421e-10,4.08399935359842e-10,5.453635134777063e-10,4.3051884845472216e-10,7.264183991710614e-10
ch1,1.2280598867073874e-06,5.806429749168188e-05,-0.03865594265672004,3.676421618567489,505,1.2683168698173607e-10,4.398504302472833e-11,3.2881236934687774e-11,5.136282849346297e-10,2.3984346186830994e-09
ch2,1.3372180443074843e-07,2.7722120065050207e-05,-0.13692058213693548,3.9042610075888886,1577,4.5771167659593416e-11,1.233638135553422e-10,1.42476338096257e-10,8.767111419396402e-11,3.1557464003287383e-10
ch3,6.035570448884118e-07,4.9996691312208014e-05,0.4839274337029422,3.144674785451797,975,6.600916894556613e-11,1.2261821636346434e-10,2.326689070640483e-10,3.2268111504974465e-10,1.3019328763397985e-09
ch4,3.291044923904989e-07,3.4575671775218494e-05,0.024685941599497094,1.3771700971196275,663,6.934284733516429e-11,3.3700889110020166e-11,2.717924115847611e-11,3.306958723396611e-10,6.532635597571162e-10
ch5,5.758716163382958e-07,3.379560182489853e-05,-0.5080204060086969,7.660706005615044,1636,6.445947430953264e-11,2.022663839604591e-10,2.34418579381033e-10,1.6466341198814157e-10,3.8548299342803754e-10
ch6,-6.619504921308388e-08,2.918250452192164e-05,0.9495232198788596,7.3006692865150455,1202,4.542763681749823e-11,8.200047670339191e-11,7.230854030220296e-11,1.2329360739714178e-10,4.462582459933248e-10
ch7,1.5596864444517153e-06,6.863755365310436e-05,0.05503120165564311,3.9588866984199287,413,1.7225118996753363e-10,7.368196214625895e-11,4.60278707518685e-11,6.627516392525443e-10,3.3905150204525457e-09
ch8,6.847276922204528e-07,3.897533270550739e-05,0.1973316263721813,1.3136539359277295,543,1.4868358679881415e-10,4.203131196243054e-11,1.8663237007784226e-11,5.227438456147564e-10,7.072812647895359e-10
ch9,-1.5174005833977968e-07,2.9211810417555518e-05,-0.04644848728300005,4.304898048520542,1383,5.5041619441406266e-11,1.7631686553465345e-10,1.6464756339718294e-10,1.2117674741281408e-10,2.620328900198934e-10
ch10,7.559736096449463e-07,3.676995095573576e-05,0.456305829881576,3.033094714083729,425,7.582039248297788e-11,2.3477297449701515e-11,8.001432924063687e-12,3.110157820264535e-10,8.577726023686495e-10
ch11,1.212183995894012e-06,4.560050647559732e-05,0.818332247455973,3.7858281105371097,583,7.31031820812201e-11,6.313022099439509e-11,5.224535610846627e-11,4.964482866418825e-10,1.06177778132914e-09
ch12,5.993787427822935e-07,3.840875165869333e-05,0.008728349486396312,1.0736830094239602,1065,1.034891324700618e-10,1.3134443337548075e-10,1.300701648006291e-10,2.8103756481604217e-10,6.522059627431128e-10
ch13,-3.5667988243122377e-07,3.190836218623511e-05,-0.3404791556220457,7.249136299462846,562,4.808059597289993e-11,2.150073083723419e-11,1.1774911137827434e-11,2.193102086813207e-10,6.938608473685096e-10
ch14,-2.570655544018363e-07,5.739375057034704e-05,-1.1157496760791492,26.04101332704445,1787,1.9348859312026863e-10,8.635507659144466e-10,8.510353600214827e-10,4.4265554761154853e-10,6.602790531717498e-10
ch15,-5.176357924038927e-07,3.508845899889351e-05,-0.44540263764241145,4.89460914445337,661,8.469261302862877e-11,3.3958218206814305e-11,2.6749210621975825e-11,3.337457846180723e-10,7.787144529351457e-10
ch16,-1.4794872918119326e-07,2.4381203663286023e-05,0.7073608962536349,6.405566535074945,1156,3.831521297108012e-11,6.173408903285838e-11,4.594186159507604e-11,1.0293675689002333e-10,2.8472670631200364e-10
ch17,-6.858283197380736e-07,3.91431288971709e-05,-0.42250970575287367,3.6351696789064363,463,9.25683547161321e-11,2.2165763934214316e-11,1.377026946625186e-11,4.1610581093312913e-10,9.769350698023757e-10
