,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,3.585345900345528e-07,8.757033859504046e-05,1.6526579432863953,53.61905582526416,4833,5.975420767499323e-10,1.7913850650092251e-09,1.533892344633151e-09,9.032234525902099e-10,2.6088603302365927e-09
ch1,3.262876182982105e-07,6.303692570463103e-05,1.2939163866841132,6.013298126096638,3142,8.866828539678493e-11,1.939150732503082e-10,1.7598750681989713e-10,4.362705570443169e-10,2.5811076512094643e-09
ch2,-4.6213430080024056e-08,4.86249628095299e-05,0.21559260668058608,1.1904955573500153,5119,9.549006762117174e-11,1.755451860976667e-10,3.501323508542759e-10,2.7658657341755243e-10,1.381678077504277e-09
ch3,2.5273513765243175e-07,7.37217473606222e-05,-0.6717992567141375,10.384290220677219,3002,1.9453135784056008e-10,4.167439097156247e-10,4.186701004089336e-10,6.655142461170984e-10,3.0978082391994746e-09
ch4,-1.4576753712179609e-07,3.3605847475042495e-05,0.20658922795823653,1.7293690430422428,3149,3.785450492967676e-11,4.954481990556594e-11,4.80409699017261e-11,1.9938522763948334e-10,7.191392403579228e-10
ch5,-2.1117028442501027e-07,4.09122627009331e-05,0.5535674907697479,2.430255640017415,5762,4.977793625495943e-11,9.812050473044842e-11,2.0358404316684654e-10,2.658854964310507e-10,9.202024682388178e-10
ch6,3.44116456763507e-07,4.887349135539276e-05,-0.250354233838731,0.6717046103376894,5092,9.60954748011165e-11,1.3293195434087788e-10,3.1178428109313533e-10,2.6951119470941386e-10,1.4767907548347065e-09
ch7,4.93425783052463e-07,5.652886591706485e-05,1.1550881337033907,4.657709237191796,2144,6.60613549395455e-11,1.1643614921101846e-10,9.715775341288916e-11,2.8077708259696725e-10,2.148633512948424e-09
ch8,-1.2572571042130988e-07,2.989557846081422e-05,0.1289115256397952,1.0468659014631143,2855,3.057624644548233e-11,4.987951041954062e-11,4.705728487840535e-11,1.857225344471231e-10,5.374773535200367e-10
ch9,-1.8131578491448404e-08,8.075676843138356e-05,-0.6364291604450371,14.717995835933408,4503,3.046019634634191e-10,1.1660467282387495e-09,2.1698468561267578e-09,6.179936212732898e-10,1.930347747987604e-09
ch10,6.939833840242299e-08,2.91086897154872e-05,0.21404169712511045,0.8707567108351268,10157,2.142276682109802e-11,2.0939176091583538e-11,2.2286212617838976e-10,1.3003696757788348e-10,3.7834044671353357e-10
ch11,4.2049073509839674e-07,7.167800916599049e-05,0.42139918560470135,8.90777205220909,2848,1.8890547906369095e-10,3.953830469680232e-10,4.95386806957609e-10,5.697683821101601e-10,3.004780263520491e-09
ch12,3.8468567207484246e-07,9.42365502491142e-05,0.040648112726401446,41.53195060400612,4424,6.403375081882045e-10,2.0360292715913515e-09,2.6436611562840497e-09,9.44744886422542e-10,2.4285983560240697e-09
ch13,3.566114948754144e-08,3.294384801801032e-05,-0.31872438280891063,4.3865428817402154,3090,5.731214037117794e-11,8.801789332510878e-11,7.242212820682517e-11,2.1065327864257234e-10,6.333472790675165e-10
ch14,3.743765280750757e-07,7.60109045951695e-05,0.5357548015714054,8.40106524304963,4236,2.1648221931968952e-10,7.663812159425867e-10,8.71565329003503e-10,5.705221549202575e-10,2.7375434660967076e-09
ch15,2.6254342413065187e-07,3.092968906056459e-05,0.7800371919713796,10.687570801983457,3399,5.5374534168042115e-11,9.638785317421784e-11,7.02341921703222e-11,2.025185082269176e-10,4.869279356397182e-10
ch16,2.999900616891369e-07,3.503256471789627e-05,-0.44656903513298185,1.3197259469755123,5728,3.637578085244726e-11,4.892894820585183e-11,1.35036934077905e-10,1.8060147814427867e-10,7.770076479811464e-10
ch17,-8.1840017588236e-08,2.221299243893557e-05,-0.057678205852015774,1.013698933871721,2088,2.2552423980563875e-11,2.4916879902793432e-11,1.0969451306130047e-11,1.1677529605865156e-10,3.025460442627816e-10
