,Mean,STD,Skew,Kurtosis,ZeroCrossing,alpha,beta,gamma,theta,delta
ch0,-1.4995752089786588e-06,7.695213249751546e-05,0.6897767106112848,4.199223028602763,4929,1.4242543539798022e-10,3.3431800916441975e-10,5.85288348183603e-10,7.195760054267315e-10,3.4284542888203238e-09
ch1,-6.404564888304382e-07,9.848486066306245e-05,1.160823522760685,6.221946189232691,3861,2.3531650245648115e-10,7.486701944982297e-10,5.797127003294044e-10,1.48420484998292e-09,5.839995093573921e-09
ch2,3.145547862351049e-07,6.049963511602771e-05,-0.4164357314581938,1.4468897631700166,2496,2.3800614482654393e-10,2.6451325218475104e-10,1.3482694860628364e-10,7.267444576689667e-10,2.0676907712877794e-09
ch3,5.021597552323088e-07,0.00010303501836458368,1.1316355914095562,5.613421469824486,3715,2.3233904248040871e-10,3.4689796458015217e-10,3.357546878833866e-10,1.5465748159898788e-09,6.933738626208808e-09
ch4,-3.621316045309155e-07,4.0329377349344486e-05,0.5671595254930475,1.9556371538287696,3844,6.873696105318255e-11,1.5090913026274206e-10,1.2824315000649785e-10,3.4963045312816795e-10,8.115976108667798e-10
ch5,3.975285484717406e-08,3.571157191497821e-05,0.09307562497663607,1.0392273660737894,3353,8.461638895853522e-11,1.2168710040574447e-10,9.653250433304292e-11,3.0719633909113894e-10,6.010312393448877e-10
ch6,-2.22801223885081e-07,5.4968425445048805e-05,-1.411327899448412,5.49333883033569,1840,3.63719251484154e-10,2.1644291116761183e-10,3.845888020691869e-11,8.536297676600667e-10,1.297496646063653e-09
ch7,-3.8790053573931096e-07,8.736230450793274e-05,1.151560017934123,6.9806982947347915,3229,2.178242450707659e-10,6.217766396886743e-10,4.822796896417805e-10,1.1820906408357243e-09,4.36706391510377e-09
ch8,-6.955669637639968e-08,3.970813289944431e-05,0.09599340102791785,1.3383757762846091,3342,8.02394061661747e-11,1.6069671237137963e-10,1.2515234412709711e-10,3.285317956812703e-10,7.988178761532099e-10
ch9,-1.0374693181366055e-07,8.289640459503236e-05,-0.22328799335945573,1.5925577236151227,6083,2.7592544061915405e-10,1.1824920831030447e-09,2.7232525106916825e-09,5.321168561369216e-10,1.6731130381196565e-09
ch10,-6.873986678715224e-08,2.715375975156943e-05,0.5373856335356202,2.8210012737885624,1756,3.6289190831566294e-11,2.6647698686843265e-11,6.3769188398562026e-12,1.9198252786527382e-10,4.0656860827961703e-10
ch11,-1.5313634794334708e-06,0.00010856530346684292,0.7737930849390378,6.500643793979027,3637,2.2821794677518839e-10,4.165034566753401e-10,6.399435552449051e-10,1.4274184660518517e-09,7.005534835834991e-09
ch12,5.648327334994131e-07,9.530494737337638e-05,0.30163758349522196,1.3241676590528568,5251,2.527368240853854e-10,1.1455732115272416e-09,2.5701728917110333e-09,8.493414472719509e-10,3.5780667392433793e-09
ch13,-4.648150243279173e-08,3.675318425649329e-05,0.049300477051635636,0.3397713812449954,2805,9.872124486699353e-11,1.2626113249969055e-10,8.145397440552004e-11,2.683852486759385e-10,6.692474940917408e-10
ch14,-5.491482287974788e-07,5.5845757053023784e-05,-0.044596513996719656,1.8796015929613255,4793,9.67690542085704e-11,2.7760639698931313e-10,5.25592217100997e-10,4.2117845644628294e-10,1.5315009966517315e-09
ch15,-3.2987090629270736e-07,3.0765013949259724e-05,0.13008155379512684,0.8535422178607157,2351,5.0937625023305716e-11,5.409296956031923e-11,3.148755018440878e-11,2.402224784938827e-10,5.121993121618034e-10
ch16,-1.6723099396321754e-07,2.9947793815850655e-05,-0.2124943447025479,0.5064829423374859,2266,6.052126809830462e-11,5.0456765753004916e-11,2.7741409305459807e-11,2.0926458136716765e-10,4.898899092291207e-10
ch17,-6.414563209236959e-08,2.3411415510144487e-05,0.060503647154787676,0.5185643854855262,1640,3.6819163486530786e-11,4.090403368357781e-11,5.464507809240891e-12,1.4484391516497534e-10,2.9663754819460766e-10
