,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-2.787124785118815e-07,5.35301990420768e-05,0.9838345907038315,15.564235363005924,3.6435398593640266e-11,2.4371265006993584e-10,6.290602691098235e-10,7.809062050284461e-11,1.0295977310900105e-09
ch1,-1.504293092497762e-07,3.9731458722066195e-05,1.3822586060810946,23.47217821697961,2.849731263442215e-11,1.381031468862826e-10,1.3659264608586735e-10,1.5375022914393533e-10,7.834749671798792e-10
ch2,2.2916773784688575e-07,4.783043660622159e-05,0.9889153122834111,57.091934229256054,8.702201512280753e-11,1.9764264505388807e-10,3.9388142315932495e-10,2.8458861899275685e-10,8.653696458800582e-10
ch3,-1.0131231552014769e-07,6.143440132432345e-05,-0.04220840439124246,13.085143741605332,3.546675610132833e-11,9.029602563732347e-11,1.2666663910772142e-10,2.0118658104335772e-10,2.0061088036856925e-09
ch4,1.147805619384707e-08,2.1277667557243834e-05,0.3050532342584426,13.233494344556963,3.366707589652596e-11,5.404523793516186e-11,9.735218021745596e-11,4.945101207686655e-11,1.580195913327083e-10
ch5,-7.509608499056834e-08,4.561607593777648e-05,-0.3648655055262576,25.77609003189058,3.9358166022263884e-11,1.572135054400315e-10,4.4451026778072106e-10,7.43333960878446e-11,7.248921143140797e-10
ch6,-1.2391594732638117e-07,5.227189877504674e-05,2.9783859360037344,95.0068539156183,8.319943555945435e-11,1.0374629568830813e-10,9.429911990248486e-11,4.524396754883814e-10,9.831521643283811e-10
ch7,-1.2389460753636015e-07,3.4604341500553967e-05,1.7451005028840558,19.27853929652176,1.987624638694206e-11,5.0537915524014995e-11,7.325294895537738e-11,1.0608660882069997e-10,6.834373035633286e-10
ch8,-3.7596640984843964e-08,2.3151476005422432e-05,0.1942093576315944,17.86116391594535,3.000431418086548e-11,4.187200129258562e-11,7.773595228968066e-11,5.364594060100224e-11,2.5380545416359513e-10
ch9,1.9470517262128052e-07,3.5139667099255275e-05,0.14987056986118918,20.22440103460932,4.061091529136114e-11,1.6283701323720666e-10,4.583568145419735e-10,1.4154141780766804e-10,2.330502958033428e-10
ch10,1.0405640916370517e-08,2.2328522020502715e-05,-1.486063874885255,53.360010247680485,3.8016042197538864e-11,3.619425694934176e-11,1.8685473677640313e-11,7.485286585628504e-11,3.1522111199402563e-10
ch11,-3.5862836707123794e-07,4.232119256478502e-05,1.1068349743243429,15.894860389098724,2.5597813934066137e-11,4.697682166738726e-11,6.456876386430078e-11,2.0180358796021349e-10,1.053196564420268e-09
ch12,-1.9474701863864747e-07,3.756049298107032e-05,0.7080274576694451,13.030287367362494,3.9310068899742594e-11,1.1671044216783225e-10,2.707137210724494e-10,1.4134311668589655e-10,5.79788392459778e-10
ch13,1.4706169421676322e-07,4.0083082642016944e-05,-1.4059083918928625,66.20964079665366,5.861127626232446e-11,9.880521139691905e-11,1.0368602530097774e-10,1.660880946679203e-10,6.0028480624774e-10
ch14,1.095916561552148e-07,3.555578331851544e-05,-0.43145660531120644,13.980549839668662,3.5218008384431346e-11,1.8734708688919723e-10,5.715724873861067e-10,4.223977791727885e-11,2.738001307263967e-10
ch15,-4.814537783816484e-08,4.30544932809806e-05,2.9015174914561794,74.14806993674833,1.242319275897323e-10,1.752340924447785e-10,8.71754342484684e-11,1.8383023518720536e-10,1.0265494989213234e-09
ch16,-1.54381435533339e-07,4.889313823594462e-05,-2.176954690310324,39.22650465147788,1.256764290980741e-10,1.8691967316369736e-10,1.4575938471659243e-10,1.6489943712188338e-10,1.260720433551757e-09
ch17,5.238450154793984e-08,2.4819681641027227e-05,-4.576381507980317,189.97371766465747,5.989155908497473e-11,3.587818213793807e-11,1.3819525182420452e-11,1.0161762386260807e-10,2.7592903203729655e-10
