,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-2.6772858566143144e-07,1.0147950273961363e-05,0.19647683283726064,4.180117775497711,6.087815206670886e-12,4.270362465935424e-12,1.212770121085652e-12,1.8337820034023315e-11,5.222572217642312e-11
ch1,-1.9795430731484315e-07,8.237723788377735e-06,0.0753327044714536,2.8631137592252838,3.697556949311548e-12,2.876515031137199e-12,8.611043161542724e-13,1.373793005096662e-11,3.732481490031985e-11
ch2,-2.456160647455595e-07,1.330450929171743e-05,-0.3121537372529959,1.4680607420633063,5.637094569948303e-12,4.588685973608699e-12,2.3222457914248352e-12,2.6674134737458573e-11,1.0963817220799772e-10
ch3,-8.186762281352194e-08,9.834629774598323e-06,-0.5809653582842753,6.244420875191134,3.74302268053216e-12,2.6950272501341944e-12,1.0302465886637543e-12,1.4041753133319273e-11,5.103591820973107e-11
ch4,-6.904124958990746e-08,9.474854367616728e-06,-0.20625895818804935,1.4467547608666615,8.267018854026263e-12,5.042516518935526e-12,9.794190420842642e-13,1.8684911007520156e-11,4.853070460178844e-11
ch5,-7.492790787265994e-08,6.8516405855767345e-06,-0.40085957199209277,2.1026607483414814,4.079591476720172e-12,3.1067854592229303e-12,1.941911648633724e-12,1.3487842375960585e-11,2.1503426356466057e-11
ch6,-3.9958165930674744e-07,1.0682447926501905e-05,-0.18423443977793216,1.1141377720643053,8.611000317241703e-12,5.585468244279604e-12,2.6061884239331754e-12,3.0839499027604563e-11,5.513942606877777e-11
ch7,-2.3514413950432025e-07,9.625297880977033e-06,0.05741565958721569,4.4570063955330115,4.6450581644319374e-12,3.792589054613812e-12,1.359173107230154e-12,1.863725586668541e-11,5.388742887937246e-11
ch8,1.7423731710153406e-07,8.660039496829493e-06,-0.19719475913238094,1.8286714735918919,5.9283210363276715e-12,3.6295756769249086e-12,1.045598477217684e-12,1.6061329204100876e-11,3.952339250581158e-11
ch9,-1.8591351359566535e-07,1.0309050536861397e-05,-0.13599542768639175,1.3614249830054534,4.475000182373784e-12,3.437295420247879e-12,1.0865799717396886e-12,2.3566139013414433e-11,6.200303112495206e-11
ch10,1.2873750917515865e-07,1.177568414730084e-05,-0.3105616899022186,0.7935328793317193,8.564143976445275e-12,5.575080029044453e-12,1.343196167073404e-12,2.975856228028014e-11,8.008515784069216e-11
ch11,-1.1889517164617565e-07,1.2213699658834791e-05,0.5313295307695137,5.194358233071744,3.3162402051828646e-12,2.74606164299671e-12,1.1685507810986847e-12,2.2489010064325528e-11,8.301264682139356e-11
ch12,4.5737614235146906e-08,1.4498540958712303e-05,0.14775169680239975,1.3347386701976518,7.411448954884336e-12,4.368216501998689e-12,1.4475359592161917e-12,3.357506267553045e-11,1.218920080092485e-10
ch13,-3.393280883713392e-08,9.029960733675489e-06,-0.061029206622517956,0.7476839297798352,7.587558781508159e-12,4.4481212238703525e-12,9.611703609975123e-13,2.0061808457804977e-11,4.004608416545783e-11
ch14,-1.342110408315392e-07,8.227012560053837e-06,-0.16763331968264164,1.5252974160918784,6.639863440950088e-12,5.559628088744286e-12,9.903943860973504e-13,1.665691976231019e-11,3.14040262215111e-11
ch15,-1.5985776621912163e-07,7.617172962222351e-06,-0.007955138213591511,0.9460252709771773,6.279999858211851e-12,4.406736758056416e-12,8.896585496131404e-13,1.5703191445500432e-11,2.66295515319609e-11
ch16,-1.1923835242880546e-07,8.138662588951351e-06,-0.24470282853147027,1.0612057918680264,7.326021574682218e-12,5.288903792351958e-12,2.231491146536348e-12,1.7148916358694537e-11,2.8302404265941223e-11
ch17,-1.7300418043344224e-07,1.158455709995638e-05,0.011991652558291762,0.6701201294171772,1.277359899495533e-11,7.544752589025437e-12,1.3574409060877787e-12,4.158189407167522e-11,6.191275050890095e-11
