,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-5.32870880592878e-07,4.761981679923435e-05,0.9838427201456119,8.02422959001174,5.2707859948531643e-11,2.3315671399605595e-10,3.422765776463881e-10,2.034925052074567e-10,1.1246928306679806e-09
ch1,-5.350321153866083e-07,7.210992761001195e-05,1.2442156876630344,11.228916468766238,1.0063747392421976e-10,8.344035619278313e-10,7.117733534149286e-10,4.855950135542231e-10,2.6896803255646015e-09
ch2,2.538245988761529e-07,2.2961143024293278e-05,0.1274591660697622,5.978550404607624,3.711160393239535e-11,5.077983667624502e-11,8.014759345805695e-11,8.251134079773782e-11,2.1457910001267512e-10
ch3,-7.595747008748706e-07,6.320620008869423e-05,1.120747952601247,13.169755348281068,7.074597847591054e-11,2.875868837164593e-10,2.6329217128766754e-10,4.327976868543945e-10,2.530922345714904e-09
ch4,5.749600557486591e-08,3.4256283343781955e-05,0.5164876752299356,3.9101300215073644,3.248817842849171e-11,1.5517299659795285e-10,1.618569659885296e-10,1.1651351133391468e-10,5.111375267640706e-10
ch5,6.01815022756803e-07,2.5030862430180906e-05,-0.0009154598924445629,4.687002300468168,3.3463903881501774e-11,4.9976036925018635e-11,7.156549606773817e-11,7.574943357193948e-11,2.8041372877575433e-10
ch6,5.108143455740438e-09,2.482319903353365e-05,-0.3716829396526477,3.2484113718847336,2.5674139307203995e-11,1.9937118232281778e-11,1.6126847658519894e-11,8.978562534189384e-11,3.0071010678339875e-10
ch7,-7.709238555552712e-08,6.749132963869498e-05,1.1325106959878546,12.384236094820865,1.1305546786080958e-10,8.243804812619656e-10,5.89466490923417e-10,3.7009344343469413e-10,2.251191813863959e-09
ch8,4.071206635076443e-07,3.03873427998787e-05,0.7920876002162248,3.525331612131666,3.1607292820607495e-11,1.3471436971723603e-10,9.660933528342655e-11,1.0015146646978785e-10,3.686338284286732e-10
ch9,3.147836530640721e-08,4.579109913203205e-05,-0.3246164926940766,6.475407171309474,9.591775581939974e-11,3.881641129467984e-10,9.351948323992725e-10,1.2552864080847829e-10,3.236766381705426e-10
ch10,1.058951096481377e-07,1.9321014092455007e-05,0.5986945787877747,4.071073340212058,1.2993743445825486e-11,8.872080580363272e-12,3.839654723439121e-12,4.194072751361995e-11,2.063808325459349e-10
ch11,-6.634740128968014e-08,6.112124337635455e-05,1.8096585372772982,21.720249898068126,7.319228821112613e-11,2.8413085586287843e-10,2.903473673913315e-10,3.592909554024684e-10,2.224468248222287e-09
ch12,2.609176930397647e-07,5.2373512083434835e-05,0.443279109985249,4.228693920133345,7.444475240176003e-11,3.6206438290830133e-10,8.701859249724312e-10,1.8930064361498694e-10,8.538805150308068e-10
ch13,1.250789132321429e-07,2.2192040963233416e-05,0.43990447861236615,1.4147203526418295,1.779314693260763e-11,2.3537492606473606e-11,2.8093770250727338e-11,6.34895250642646e-11,2.3121030503495625e-10
ch14,6.59528999339209e-07,3.6462863498029865e-05,-0.023299433815389087,4.831639107109842,4.6344635324712126e-11,1.5751197188541019e-10,3.011984361324865e-10,1.1387688052339223e-10,4.462214698563287e-10
ch15,2.9128390662161035e-07,2.4893041828627595e-05,1.0223460879206647,5.74556321325848,1.1940096624063376e-11,1.639639628209085e-11,1.2636151211307964e-11,5.473865735839224e-11,3.378145809804986e-10
ch16,1.490124223600234e-07,1.4118957463532858e-05,-0.2557447464729154,2.4235091571871212,1.643782689300754e-11,1.48063967783149e-11,1.2614022794148763e-11,3.6917994498256765e-11,9.905337499445431e-11
ch17,3.641929857617433e-07,2.3386900133956534e-05,0.7775732351696134,3.8478120667437317,7.214302435786198e-12,6.411675405023173e-12,2.589692619279548e-12,3.3923956877107935e-11,2.718948605720741e-10
