,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,1.1954193408489872e-07,0.00013147902895092317,-0.04622528732394054,1.6803489527187718,2.0933799386307316e-10,3.1267229028849395e-10,2.916368312612811e-10,1.36204081378138e-09,1.3686518998743173e-08
ch1,5.155334444611111e-08,0.00011147110760226175,0.3358201532194451,3.845438006299152,1.8051865294656577e-10,3.3005843889719404e-10,2.3947078490894384e-10,8.059455747173317e-10,9.104658690148815e-09
ch2,1.2177142512745743e-06,0.0001221740399502755,0.01528094807143729,2.2372271096290888,2.5332971875459934e-10,4.5171195719982264e-10,2.790739436441895e-10,1.6644145965943651e-09,1.0061766392788449e-08
ch3,-1.654533022729609e-07,0.00011924683620128984,0.3945019740104964,4.6032985486539895,2.1209926792233636e-10,2.460627989161475e-10,2.099152584798869e-10,1.1314009824009871e-09,9.662338525913197e-09
ch4,1.4769916075468865e-07,0.00011192619782013584,0.09480683404436183,1.5376168792657312,1.7546260364264085e-10,3.595882430800505e-10,1.8175694954856782e-10,8.446673958830627e-10,9.843987639465386e-09
ch5,7.916021894683122e-07,0.0001317202193234121,0.05753371768791066,2.1675333234398435,2.6594092521699227e-10,2.2868779424959425e-10,1.4757333481496673e-10,1.5358155151661958e-09,1.3807123782412511e-08
ch6,1.7192662729208811e-06,0.00014576162124791767,-0.10581262355457492,1.03370410477764,2.378565482409519e-10,1.79711392943793e-10,9.324830627934303e-11,1.7631891860729343e-09,1.6113643498117028e-08
ch7,-3.5380688083313353e-07,0.00013646145680307594,0.45229282453069625,3.2531093641264386,1.4270176614458027e-10,3.8358979250594213e-10,4.11014745976453e-10,1.155227869895739e-09,1.4049126153665307e-08
ch8,3.529535608346925e-07,0.00011811220003032195,-0.012946811454456569,1.9262165044453416,1.5330202239831675e-10,5.51541845285124e-10,4.943164467676781e-10,8.668815891611381e-10,1.0486717513234244e-08
ch9,7.53250994718993e-07,0.0001386192202187157,-0.10957451766749231,1.691746163782514,2.446554269925249e-10,6.820730733257323e-10,5.99021390716599e-10,1.2912557064650243e-09,1.4149516861435224e-08
ch10,2.9597045743640327e-07,0.00012107188078384685,-0.07247739822308155,2.0831754536304903,8.792440041052463e-11,6.282150379380524e-11,1.2809688043587688e-11,7.28244049949792e-10,1.1845025761053297e-08
ch11,4.3004506023511446e-08,0.0001222040597106836,0.42729786792634367,4.6552569438022555,1.4369407356823823e-10,1.5780174334907267e-10,1.4538316967907853e-10,1.1430365105696693e-09,1.0092084329152759e-08
ch12,1.2894111396788332e-07,0.0001072590804840844,0.09249132737730845,2.3788000592848197,1.7067677267550753e-10,3.434717842478966e-10,5.270942496114164e-10,1.0731407617445193e-09,7.745514955212567e-09
ch13,4.251626747462995e-07,9.426039597369518e-05,-0.2470492845823564,3.426138188698168,8.962968671794333e-11,8.094589537775745e-11,4.267460413633861e-11,6.928624257929215e-10,6.625443848992228e-09
ch14,3.4362228636280426e-07,8.529095633805523e-05,0.04484754628577445,1.5332368953385132,1.7146317091739086e-10,2.360181489896844e-10,1.944147548375298e-10,8.060937642647716e-10,4.895622686579443e-09
ch15,2.64353964013668e-07,9.138698800188012e-05,0.03618214600587191,1.5441292885679383,1.916015900884047e-10,1.646817742896369e-10,2.033640959835199e-11,7.26636803906489e-10,6.037220698874542e-09
ch16,6.199469942077025e-07,0.00011635477819054105,-0.12534178535521068,1.2099102218401212,2.0382827977916743e-10,1.5631321212725245e-10,7.064009586608466e-11,1.436075369487134e-09,1.0364645591052182e-08
ch17,8.903100794555472e-07,0.00010355912677340216,0.044311520635586105,1.2016014031085573,1.2021870362326442e-10,6.220020890264606e-11,7.251736730304145e-12,7.777870223937095e-10,8.517782636820721e-09
