,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,-2.543747819433144e-08,8.308195468450231e-05,0.03964910929560738,18.65878596069883,4.813201356857925e-10,9.256876696547481e-10,8.030097186940376e-10,8.75251513213728e-10,3.2882329416579324e-09
ch1,2.7938904903161715e-07,6.1325382507407e-05,1.1159314713206039,4.945762117150661,7.168800450941587e-11,1.3843257558751868e-10,1.0713890537962282e-10,4.125236971800359e-10,2.6336912920151807e-09
ch2,5.258759106149682e-07,4.60024609990505e-05,0.39368238542755113,1.0615948945214333,7.641522222530478e-11,1.456539878170463e-10,1.2521802287796306e-10,3.180212924111178e-10,1.316835371038951e-09
ch3,9.360975488452491e-07,7.025514873660117e-05,-0.6431769635983168,7.7138328020517815,1.4561827664128596e-10,3.013772000349857e-10,2.4955441034838834e-10,6.283470018272398e-10,3.0841493783836197e-09
ch4,4.6021846785204667e-07,3.685928052455333e-05,0.23191556998176677,1.2402366447509365,4.429689586619234e-11,5.029882304477523e-11,2.9207710626312265e-11,2.3739956608048167e-10,8.933288481955341e-10
ch5,1.772537538544344e-07,4.411277306212829e-05,0.7833043897989267,3.0971570371175154,6.359708304043324e-11,7.914403450768262e-11,3.7788271796406867e-11,3.238841441267579e-10,1.2388814626526157e-09
ch6,4.920430556355339e-08,4.140211068515163e-05,-0.14723277121257736,0.7150295127723574,8.863017171992352e-11,7.426546207792935e-11,3.790834216372029e-11,3.533803626996942e-10,1.100581805621082e-09
ch7,7.017961863918033e-07,5.4828271390750175e-05,1.0149645650666264,4.574961020638949,5.899103598311692e-11,1.3736602836739e-10,1.0665114069991795e-10,2.8057659403739194e-10,2.066420722528224e-09
ch8,4.4436040672017953e-07,3.31291592756637e-05,0.09786333705312013,1.069179304538701,3.9982728541155656e-11,5.520743197559749e-11,3.050668225864325e-11,2.249333949357429e-10,6.719645225238926e-10
ch9,4.7588109377770176e-07,7.459596331334149e-05,-0.9435179262514081,13.545561873222866,3.1143942680531004e-10,9.880418329016043e-10,1.9172529672020454e-09,7.04241866444186e-10,1.2948055329968499e-09
ch10,3.007116376725626e-07,2.5744483113944215e-05,0.2449528748423541,1.6665569843558474,2.9348861249301796e-11,2.067939611264211e-11,6.396393922775852e-12,1.351358209285652e-10,4.0892856869197376e-10
ch11,5.92278918570813e-08,7.32552011690318e-05,0.7349793463960151,5.847789833422736,1.555778675754678e-10,2.926997311995101e-10,4.241430673370255e-10,5.804764917033879e-10,3.1605342152753117e-09
ch12,4.45573391858416e-07,8.910351434833754e-05,0.11247804267066736,23.156681474199434,5.385974849786246e-10,1.4603565741439132e-09,2.2495879866897893e-09,9.815627977505135e-10,2.43954613938858e-09
ch13,2.9284471113487555e-07,3.102801701177706e-05,-0.10324854098894508,1.5317646206853395,5.609221864687921e-11,6.993981986660683e-11,3.2998562129094627e-11,2.433683405986714e-10,5.206936458117418e-10
ch14,-5.413417198170088e-07,7.253213872532043e-05,0.8169239345121513,4.600376337288741,1.8030198231118318e-10,4.1454977737904523e-10,4.6164172978457645e-10,4.922056318797833e-10,3.041017485491859e-09
ch15,-3.543860137705893e-07,3.07668053379858e-05,0.22525951678925105,3.5908560215299747,5.0089664449542443e-11,6.496090621619166e-11,2.7719003282479344e-11,2.0241739575114192e-10,5.439972747153216e-10
ch16,1.668342580119529e-07,3.335338149070224e-05,-0.5248347911233303,2.1484147691367026,4.0190281385490134e-11,3.49397647588128e-11,1.417005347180929e-11,2.0121285814485828e-10,7.911667084235299e-10
ch17,2.9489294768487475e-07,2.2398370927578395e-05,-0.04942568544518704,1.2770457714067165,2.531853005794827e-11,2.8120631398154203e-11,3.4629183053461093e-12,1.35218150569011e-10,2.8520350371812183e-10
